source,target,weight,weight2,color_dist,boundary_contrast
37,44,4.711771538502998,0.018477535445109796,0.018477535445109796,0.0
39,40,63.76111192490332,0.2500435761760914,0.2500435761760914,0.0
39,42,54.12512277467538,0.2122553834300995,0.2122553834300995,0.0
39,47,1.7066559161538941,0.006692768298642722,0.006692768298642722,0.0
39,46,6.8267276770217045,0.026771481086359624,0.026771481086359624,0.0
39,50,23.925687936498832,0.09382622720195621,0.09382622720195621,0.0
39,53,70.47387133452744,0.2763681228804998,0.2763681228804998,0.0
39,61,23.99319553648904,0.09409096288819233,0.09409096288819233,0.0
40,42,10.140828780865824,0.039767956003395395,0.039767956003395395,0.0
41,45,29.061179118367352,0.11396540830732295,0.11396540830732295,0.0
42,46,48.521084873398344,0.19027876420940523,0.19027876420940523,0.0
42,44,60.7748321496792,0.2383326750967812,0.2383326750967812,0.0
43,44,32.12504839457383,0.12598058193950523,0.12598058193950523,0.0
43,48,48.418871313880764,0.18987792672110107,0.18987792672110107,0.0
44,48,16.58316225334604,0.06503200883665115,0.06503200883665115,0.0
44,46,12.90163836240661,0.050594660244731804,0.050594660244731804,0.0
46,47,7.357287114517864,0.028852106331442605,0.028852106331442605,0.0
46,48,3.972970272298192,0.01558027557763997,0.01558027557763997,0.0
46,54,20.343525678247165,0.07977853207155751,0.07977853207155751,0.0
46,51,48.985548284924576,0.1921001893526454,0.1921001893526454,0.0
46,58,22.15851297883373,0.08689612932875973,0.08689612932875973,0.0
47,50,24.967072519697194,0.09791008831253802,0.09791008831253802,0.0
47,51,55.73144943388748,0.21855470366230387,0.21855470366230387,0.0
47,53,71.5115326690695,0.28043738301595883,0.28043738301595883,0.0
48,49,17.585712664319143,0.06896357907576132,0.06896357907576132,0.0
48,56,25.159936962352944,0.09866641946020764,0.09866641946020764,0.0
48,57,24.269006693553884,0.09517257526883877,0.09517257526883877,0.0
48,54,19.30356686098235,0.07570026219993078,0.07570026219993078,0.0
51,53,16.04680322247165,0.06292864008812411,0.06292864008812411,0.0
51,58,50.45697335257957,0.19787048373560617,0.19787048373560617,0.0
51,60,36.98353218295972,0.14503345954101848,0.14503345954101848,0.0
52,55,69.06128046961568,0.27082855086123797,0.27082855086123797,0.0
53,60,52.54749826203734,0.20606862063544054,0.20606862063544054,0.0
53,61,68.96311313462934,0.27044358092011506,0.27044358092011506,0.0
54,57,18.67425560327181,0.07323237491479143,0.07323237491479143,0.0
54,58,6.899428830385912,0.02705658364857221,0.02705658364857221,0.0
54,63,38.65029239911521,0.1515697741141773,0.1515697741141773,0.0
54,68,85.10620425598498,0.3337498206117058,0.3337498206117058,0.0
55,62,24.169829903921276,0.0947836466820442,0.0947836466820442,0.0
55,71,22.649581587264638,0.08882188857750839,0.08882188857750839,0.0
56,57,9.455026972345628,0.03707853714645344,0.03707853714645344,0.0
56,59,8.907229009070406,0.034930309839491795,0.034930309839491795,0.0
56,64,35.98457408498747,0.14111597680387242,0.14111597680387242,0.0
56,65,70.26546981228992,0.2755508620089801,0.2755508620089801,0.0
56,66,97.37622190984439,0.3818675369013505,0.3818675369013505,0.0
56,67,47.5389786230701,0.18642736714929453,0.18642736714929453,0.0
57,65,77.12037102509478,0.3024328275493913,0.3024328275493913,0.0
57,68,103.45179317816476,0.4056933065810383,0.4056933065810383,0.0
58,60,13.482976624932265,0.05287441813698928,0.05287441813698928,0.0
58,63,45.402676790721024,0.17804971290478835,0.17804971290478835,0.0
59,62,17.77704405133569,0.06971389824053212,0.06971389824053212,0.0
59,67,56.055572572673206,0.2198257747947969,0.2198257747947969,0.0
60,61,16.492916372948898,0.06467810342332901,0.06467810342332901,0.0
60,63,31.975233336331993,0.1253930719071843,0.1253930719071843,0.0
60,72,46.9943141730395,0.18429142812956667,0.18429142812956667,0.0
